frame_idx_global,session,row,phaseg_correct_red,phaseg_shuf_red,phaseg_fake5k_red,phaseg_fake25k_red,phaseg_fake70k_red,phaseg_fake100k_red,delta_red_shuf,delta_red_fake100k,binder_e2fp16_red,ae64f_correct_red,z_correct_mean,z_correct_p95,z_shuf_mean,z_shuf_p95,z_fake100k_mean,z_fake100k_p95,excess_shuf_mean,excess_shuf_p95,excess_shuf_red,excess_fake100k_mean,excess_fake100k_p95,excess_fake100k_red,has_real,has_shuf,has_fake5k,has_fake25k,has_fake70k,has_fake100k,has_binder,has_ae
53,D2,53,0.00521,0.07511,0.08972,0.06708,0.06014,0.05725,0.06991,0.05204,0.00041,0.01558,1.0216,3.0204,4.0766,14.5265,3.4527,13.1210,1.5632,4.0000,0.44832,1.3313,4.0000,0.38239,1,1,1,1,1,1,1,1
54,D2,54,0.00592,0.07517,0.08964,0.06399,0.06077,0.05619,0.06925,0.05027,0.00043,0.02321,1.0320,3.0005,3.9452,14.6660,3.4801,12.9220,1.4733,4.0000,0.42405,1.3665,4.0000,0.39221,1,1,1,1,1,1,1,1
55,D2,55,0.00570,0.07922,0.09131,0.06936,0.06173,0.05593,0.07353,0.05023,0.00033,0.02277,1.0562,3.0397,4.0832,15.4264,3.3548,12.9695,1.4796,4.0000,0.42253,1.2539,4.0000,0.36064,1,1,1,1,1,1,1,1
56,D2,56,0.00488,0.08543,0.09703,0.07320,0.06854,0.06799,0.08055,0.06311,0.00126,0.01882,1.0470,3.1510,4.3267,16.0649,3.6235,14.2444,1.5540,4.0000,0.44425,1.3471,4.0000,0.38489,1,1,1,1,1,1,1,1
57,D2,57,0.00580,0.08846,0.10313,0.08002,0.07501,0.07233,0.08266,0.06653,0.00094,0.02132,1.0488,3.1095,4.2443,16.2213,3.7465,14.6279,1.5115,4.0000,0.43099,1.3736,4.0000,0.39207,1,1,1,1,1,1,1,1
58,D2,58,0.00584,0.08917,0.08199,0.06087,0.05666,0.05377,0.08333,0.04793,0.00077,0.02238,1.0410,2.9365,4.2580,16.2992,3.3413,12.7108,1.5163,4.0000,0.42796,1.2942,4.0000,0.37258,1,1,1,1,1,1,1,1
59,D2,59,0.00562,0.07210,0.09792,0.06921,0.05747,0.05060,0.06649,0.04498,0.00043,0.02321,1.0606,3.1470,3.9512,14.4877,3.2690,12.3629,1.4942,4.0000,0.43160,1.2558,4.0000,0.36100,1,1,1,1,1,1,1,1
60,D2,60,0.00515,0.06362,0.08535,0.06106,0.04976,0.04504,0.05847,0.03990,0.00024,0.01744,1.0291,2.9479,3.7791,13.6608,3.1629,11.7099,1.4471,4.0000,0.41541,1.2434,4.0000,0.36102,1,1,1,1,1,1,1,1
61,D2,61,0.00606,0.08368,0.09892,0.07621,0.06948,0.06726,0.07762,0.06120,0.00028,0.02344,1.0655,3.1041,4.2088,15.7018,3.6485,14.1772,1.5345,4.0000,0.43903,1.3616,4.0000,0.38912,1,1,1,1,1,1,1,1
62,D2,62,0.00509,0.07664,0.09389,0.06891,0.05994,0.05322,0.07155,0.04814,0.00008,0.02325,1.0177,2.9531,4.0789,15.2156,3.2193,12.7308,1.5140,4.0000,0.43278,1.2250,4.0000,0.35557,1,1,1,1,1,1,1,1
63,D2,63,0.00454,0.07102,0.09607,0.07050,0.06604,0.06439,0.06649,0.05986,0.00071,0.01843,1.0035,2.9576,3.8483,14.3918,3.6182,13.9039,1.4483,4.0000,0.41534,1.3664,4.0000,0.39122,1,1,1,1,1,1,1,1
64,D2,64,0.00498,0.07945,0.08657,0.06543,0.06228,0.05821,0.07446,0.05322,0.00022,0.01579,1.0111,2.8793,4.1189,15.1495,3.4960,13.0696,1.5172,4.0000,0.43250,1.3468,4.0000,0.38637,1,1,1,1,1,1,1,1
65,D2,65,0.00521,0.08374,0.09422,0.07007,0.06390,0.06156,0.07853,0.05636,0.00061,0.02041,1.0651,3.2955,4.1209,15.8500,3.6049,13.4645,1.4618,4.0000,0.41654,1.3742,4.0000,0.39315,1,1,1,1,1,1,1,1
66,D2,66,0.00458,0.07760,0.09538,0.07157,0.06775,0.06433,0.07302,0.05975,0.00028,0.01695,1.0279,2.9951,4.1603,15.4587,3.5330,13.8826,1.5392,4.0000,0.44055,1.3214,4.0000,0.37931,1,1,1,1,1,1,1,1
67,D2,67,0.00612,0.08199,0.09916,0.07235,0.05951,0.05442,0.07587,0.04830,0.00037,0.02028,1.0414,3.0769,4.1105,15.5532,3.3248,12.8374,1.4910,4.0000,0.42385,1.2601,4.0000,0.36348,1,1,1,1,1,1,1,1
68,D2,68,0.00515,0.07719,0.08742,0.06626,0.06474,0.06091,0.07204,0.05577,0.00051,0.02248,1.0513,3.1570,4.0927,15.0781,3.5331,13.3717,1.5010,4.0000,0.42611,1.3419,4.0000,0.38316,1,1,1,1,1,1,1,1
69,D2,69,0.00600,0.07672,0.08728,0.06175,0.05495,0.04799,0.07072,0.04199,0.00035,0.02120,1.0423,3.0948,4.0754,14.9326,3.1802,12.0147,1.5314,4.0000,0.43612,1.2322,4.0000,0.36037,1,1,1,1,1,1,1,1
70,D2,70,0.00490,0.07682,0.09139,0.06358,0.05131,0.04456,0.07192,0.03965,0.00037,0.01447,1.0085,2.9201,4.0810,15.1501,3.1432,11.7276,1.5128,4.0000,0.43382,1.2303,4.0000,0.35586,1,1,1,1,1,1,1,1
71,D2,71,0.00600,0.07436,0.10000,0.07304,0.06950,0.06549,0.06836,0.05949,0.00024,0.02234,1.0637,3.1023,4.0771,14.7861,3.6195,13.8249,1.5544,4.0000,0.44629,1.3511,4.0000,0.38613,1,1,1,1,1,1,1,1
72,D2,72,0.00500,0.07176,0.08704,0.05811,0.05237,0.04633,0.06675,0.04132,0.00081,0.01274,1.0046,2.8750,3.8947,14.5538,3.1855,11.8839,1.4591,4.0000,0.41447,1.2565,4.0000,0.36416,1,1,1,1,1,1,1,1
73,D2,73,0.00564,0.07054,0.10181,0.07359,0.05747,0.05153,0.06490,0.04590,0.00067,0.01750,1.0253,2.8602,3.8936,14.3948,3.2244,12.4517,1.4588,4.0000,0.41878,1.2088,4.0000,0.34843,1,1,1,1,1,1,1,1
74,D2,74,0.00590,0.07524,0.08927,0.06675,0.06276,0.05882,0.06934,0.05292,0.00055,0.02254,1.0474,3.0983,4.0655,14.8756,3.5180,13.2051,1.5094,4.0000,0.43542,1.3332,4.0000,0.38338,1,1,1,1,1,1,1,1
75,D2,75,0.00576,0.07440,0.09108,0.06755,0.06154,0.05396,0.06864,0.04820,0.00061,0.02338,1.0649,3.1939,4.0364,14.6456,3.3703,12.7705,1.5216,4.0000,0.43557,1.2949,4.0000,0.37278,1,1,1,1,1,1,1,1
76,D2,76,0.00680,0.07635,0.09397,0.06942,0.06917,0.06584,0.06956,0.05904,0.00057,0.02777,1.0587,3.0680,4.1553,15.0050,3.6587,13.8844,1.5731,4.0000,0.45050,1.3906,4.0000,0.39848,1,1,1,1,1,1,1,1
77,D2,77,0.00519,0.08795,0.10107,0.07631,0.07182,0.06702,0.08276,0.06183,0.00063,0.01333,1.0373,2.9491,4.2301,15.9430,3.6582,14.0578,1.5383,4.0000,0.43964,1.3640,4.0000,0.38772,1,1,1,1,1,1,1,1
78,D2,78,0.00482,0.07841,0.10557,0.07692,0.07125,0.06738,0.07359,0.06256,0.00057,0.01459,1.0215,2.9189,4.0020,15.0512,3.6669,13.9975,1.4645,4.0000,0.41378,1.3993,4.0000,0.39748,1,1,1,1,1,1,1,1
79,D2,79,0.00423,0.08600,0.08262,0.05983,0.05186,0.04747,0.08177,0.04323,0.00073,0.01817,1.0527,3.1036,4.2201,15.8569,3.2719,12.0537,1.5047,4.0000,0.42692,1.2728,4.0000,0.36595,1,1,1,1,1,1,1,1
80,D2,80,0.00500,0.07941,0.08948,0.06917,0.06517,0.06016,0.07440,0.05516,0.00033,0.01742,1.0216,2.9521,4.1492,15.3132,3.5370,13.3570,1.5412,4.0000,0.43640,1.3593,4.0000,0.38965,1,1,1,1,1,1,1,1
81,D2,81,0.00397,0.07501,0.09873,0.07021,0.06858,0.06468,0.07104,0.06071,0.00024,0.01870,1.0381,3.1698,3.9581,14.9040,3.5690,13.8735,1.4307,4.0000,0.40830,1.3332,4.0000,0.38072,1,1,1,1,1,1,1,1
82,D2,82,0.00385,0.06982,0.08913,0.06368,0.05723,0.05066,0.06598,0.04681,0.00055,0.01715,1.0099,3.0089,4.0476,14.0865,3.2216,12.3706,1.6064,4.0000,0.46193,1.2514,4.0000,0.36251,1,1,1,1,1,1,1,1
