session,row,mode,sigma_target,achieved_delta_rms,achieved_delta_max,achieved_delta_p95,fraction_changed,fraction_clipped,score_baseline,score_perturbed,delta_score
D2,1549,A_rendered,0.1,0.048431381583213806,0.2668547034263611,0.09521827101707458,0.8307105170355903,0.013969845241970487,0.003449192427797243,0.003508534375578165,5.934194778092197e-05
D2,1549,A_rendered,0.3,0.14104440808296204,0.7075875401496887,0.2762279212474823,0.9378352695041232,0.05197440253363715,0.003449192427797243,0.003817789047025144,0.00036859661922790084
D2,1549,A_rendered,0.5,0.22077377140522003,0.9934960603713989,0.4273102283477783,0.9594730801052518,0.12529627482096353,0.003449192427797243,0.004300475039053708,0.0008512826112564648
D2,1549,B_phase_g_input,0.1,0.09795954078435898,0.4935460090637207,0.19226357340812683,0.913000742594401,0.02927186754014757,0.003449192427797243,0.0036544854461681097,0.00020529301837086652
D2,1549,B_phase_g_input,0.3,0.25857263803482056,1.0,0.49542486667633057,0.9655253092447916,0.17683283487955728,0.003449192427797243,0.004638413415523246,0.001189220987726003
D2,1549,B_phase_g_input,0.5,0.351691335439682,1.0,0.6496732234954834,0.9760708279079862,0.3584615919325087,0.003449192427797243,0.0055711533117573705,0.0021219608839601273
D2,1549,C_binder_resolution,0.1,0.05398645997047424,0.2797833979129791,0.10618557035923004,0.8475019666883681,0.015142652723524306,0.003449192427797243,0.0035231880145147445,7.399558671750128e-05
D2,1549,C_binder_resolution,0.3,0.15602047741413116,0.7849831581115723,0.3051552176475525,0.9437450832790799,0.06264453464084202,0.003449192427797243,0.003917217254638672,0.0004680248268414287
D2,1549,C_binder_resolution,0.5,0.24057240784168243,1.0,0.46377116441726685,0.9628668891059028,0.15118874443901908,0.003449192427797243,0.004507731914054602,0.0010585394862573589
D2,1566,A_rendered,0.1,0.04835936427116394,0.2477170079946518,0.09516165405511856,0.8285916646321615,0.017128414577907987,0.0034816473023965957,0.0035320488968864083,5.040159448981268e-05
D2,1566,A_rendered,0.3,0.1403891146183014,0.7274354100227356,0.2753705680370331,0.9356218973795573,0.0577498541937934,0.0034816473023965957,0.003840810194378719,0.00035916289198212326
D2,1566,A_rendered,0.5,0.21967604756355286,1.0,0.42670413851737976,0.9575072394476997,0.1306576199001736,0.0034816473023965957,0.004332379577681423,0.0008507322752848269
D2,1566,B_phase_g_input,0.1,0.09781705588102341,0.5379890203475952,0.1920931339263916,0.910965813530816,0.03395885891384549,0.0034816473023965957,0.0036790884856600314,0.0001974411832634357
D2,1566,B_phase_g_input,0.3,0.2577025592327118,1.0,0.49607837200164795,0.9633060031467013,0.18203777737087673,0.0034816473023965957,0.004618911369470879,0.0011372640670742834
D2,1566,B_phase_g_input,0.5,0.35155048966407776,1.0,0.6529412269592285,0.9739384121365018,0.3613179524739583,0.0034816473023965957,0.005531906726537273,0.002050259424140677
D2,1566,C_binder_resolution,0.1,0.05392153561115265,0.2684903144836426,0.10601957887411118,0.8452110290527344,0.018532647026909724,0.0034816473023965957,0.0035476510063745083,6.600370397791266e-05
D2,1566,C_binder_resolution,0.3,0.15535005927085876,0.7856178283691406,0.30428585410118103,0.9411608378092448,0.0682419670952691,0.0034816473023965957,0.003933630208484829,0.00045198290608823317
D2,1566,C_binder_resolution,0.5,0.23934213817119598,1.0,0.46239757537841797,0.9607043796115451,0.15642420450846353,0.0034816473023965957,0.004453725664643571,0.000972078362246975
D2,1583,A_rendered,0.1,0.04830698296427727,0.2364339828491211,0.09509140998125076,0.8269131978352865,0.018686082628038194,0.0037835534079931677,0.0038368593144696207,5.330590647645295e-05
D2,1583,A_rendered,0.3,0.14064788818359375,0.7072714567184448,0.27627021074295044,0.9339671664767795,0.05780368381076389,0.0037835534079931677,0.004172988521168009,0.00038943511317484107
D2,1583,A_rendered,0.5,0.22005192935466766,1.0,0.4270808696746826,0.9558741251627604,0.1304194132486979,0.0037835534079931677,0.004662317247129977,0.0008787638391368094
D2,1583,B_phase_g_input,0.1,0.09762834757566452,0.519047737121582,0.19188007712364197,0.9094145033094618,0.034777323404947914,0.0037835534079931677,0.00400519585236907,0.00022164244437590215
D2,1583,B_phase_g_input,0.3,0.2577483355998993,1.0,0.4953290820121765,0.9617737664116753,0.1815711127387153,0.0037835534079931677,0.0049755891086533666,0.0011920357006601988
